4a786a2,victor,10 hours ago,probando logs
f939a87,victor,10 hours ago,modificaciones rainou
6c05b42,repotaller2,17 hours ago,subirpic10
a3f3242,VICTOR ALFONSO CABALLERO CABRERA,17 hours ago,se agregaron nuevas imagenes
05c38f5,testito,24 hours ago,probando borrado
4c1a3d5,testito,24 hours ago,files
6e23a9c,victor,34 hours ago,agregando  nuevas vistas2
9385968,victor,34 hours ago,agregando  nuevas vistas
e71af23,testito,5 days ago,Revert "probando entorno visual"
1bf1088,testito,5 days ago,probando entorno visual
284e77a,testito,5 days ago,presentacion fix
926bdea,testito,5 days ago,fix git
d1deee0,testito,5 days ago,embassador
242e3b4,testito,6 days ago,GO EXCEL
4d2ca32,testito,6 days ago,subio excel
8da59dd,testito,6 days ago,agregando ignor
d946eff,testito,6 days ago,Ahora si  denegar archivos
32b14a3,testito,6 days ago,ignorar archivos
f0d25eb,testito,7 days ago,arreglando presentacion
91f2c7e,testito,7 days ago,README
c732765,testito,7 days ago,se agrego archivo fail .html
8a6e1d6,testito,8 days ago,fixeado
6ef4623,blogdopata,8 days ago,se borro lo que no sirve
51e6c87,blogdopata,8 days ago,prabando deletes
49a8118,blogdopata,8 days ago,test de carpetas v.1.0
de1c972,blogdopata,11 days ago,Subir expo Taller